TW2575/98|ABG36787|Chicken|Avian_coronavirus|-0.0680672268907563|0.42901067100741547
N25|ABD75545|Human|Human_coronavirus_HKU1|-0.055381054719788395|0.3956960913482653
Quebec|AAL40400|Cattle|Betacoronavirus_1|-0.04763458401305057|0.3946884038916645
TCoV_540|ABW75125|Turkey|Avian_coronavirus|-0.11788053185155785|0.38755164361415484
BCoV_LUN|AAL57308|Cattle|Betacoronavirus_1|-0.04286878565607172|0.39714385841948485
TCoV_ATCC|ABW75138|Turkey|Avian_coronavirus|-0.11055776892430279|0.392298002519345
UNKNOWN_AY884001|AAX76521|Human|Human_coronavirus_HKU1|-0.055546371301041494|0.3956082564778217
87309_Belgium_2003|AAX85669|Human|Betacoronavirus_1|-0.05101043024771838|0.4017520805957074
N10|ABD75585|Human|Human_coronavirus_HKU1|-0.05588331694526385|0.39744151406291073
ArkDPI11|ACB59372|Chicken|Avian_coronavirus|-0.0781282640484646|0.4249819233550253
ArkDPI101|ACB59362|Chicken|Avian_coronavirus|-0.07732497387669801|0.4248779605857892
N3|ABD75553|Human|Human_coronavirus_HKU1|-0.05604719764011799|0.39735389468150356
N5P8|ABC70719|Human|Human_coronavirus_HKU1|-0.05470170219798381|0.3960656889435321
19572_Belgium_2004|AAX85678|Human|Betacoronavirus_1|-0.05464035230794324|0.40380068307207284
LX4|AAQ21585|Chicken|Avian_coronavirus|-0.07162476230720473|0.42841609278724174
ATCC_VR_759|AAR01015|Human|Betacoronavirus_1|-0.05067843714239006|0.4017536168347216
VW572|AAY68297|Swine|Betacoronavirus_1|-0.05144747725392887|0.3974201474201474
NC99|ABP87990|Horse|Betacoronavirus_1|-0.0456695481976839|0.39272567922874674
BCoV_ENT|AAK83356|Cattle|Betacoronavirus_1|-0.04287577437235083|0.39849294663979673
AFCD307|ACA52157|Bat|Bat_coronavirus_1B|-0.08482217398564033|0.33434190620272314
HKU3_3|AAZ41340|Bat|Severe_acute_respiratory_syndrome_related_coronavirus|0.7437416395948786|0.8105433609211947
LLJ_2004|AAT52330|Bat|Severe_acute_respiratory_syndrome_related_coronavirus|0.7515793385358602|0.8266499955345181
HKU3_2|AAZ41329|Bat|Severe_acute_respiratory_syndrome_related_coronavirus|0.7428844317096466|0.8101277208130959
HKU3_8|ADE34766|Bat|Severe_acute_respiratory_syndrome_related_coronavirus|0.7447378492154612|0.8094337924205599
HKU3_7|ADE34755|Bat|Severe_acute_respiratory_syndrome_related_coronavirus|0.7433492822966508|0.8098667626935542
HKU3_10|ADE34790|Bat|Severe_acute_respiratory_syndrome_related_coronavirus|0.7430263660680169|0.8102005936853468
HKU3_12|ADE34812|Bat|Severe_acute_respiratory_syndrome_related_coronavirus|0.7438837920489296|0.8106162843004948
HKU3_13|ADE34823|Bat|Severe_acute_respiratory_syndrome_related_coronavirus|0.7428353076041269|0.8105604029864172
UNKNOWN_DQ915164|ABI93999|Alpaca|Betacoronavirus_1|-0.042535853976531944|0.3971966710468682
PCoV_GX_P2V|QIQ54048|Anteater|Pangolin_coronavirus|0.9241645244215938|0.8397676496872207
TT03f|ABN10884|Bat|Pipistrellus_bat_coronavirus_HKU5|-0.037325812873258125|0.39635113696456903
TT06f|ABN10893|Bat|Pipistrellus_bat_coronavirus_HKU5|-0.037491705374917056|0.3962630001762736
LMH03f|ABN10875|Bat|Pipistrellus_bat_coronavirus_HKU5|-0.03779264214046823|0.39826916283998587
TLC1343A|AFU92122|Bat|Bat_coronavirus_HKU10|-0.06812694032424974|0.3486116055535778
SL12A|AFU92078|Bat|Bat_coronavirus_HKU10|-0.06995175740868366|0.34802350427350426
175A|AFU92113|Bat|Bat_coronavirus_HKU10|-0.05823912298732443|0.34749068983862386
